Item No,Producto,Marca,Codigo tienda,Categoria,Sub- categoria,Cantidad,Estado del Producto,Fotografia ,Precio tienda,Precio a Jeffrey,Total,Columna 1,Columna 2
32,Paleta De Sombra Prismatic ,Prolux,MPR002,Maquillaje,Sombra,1,N/A,2Paleta De Sombra Prismatic.jpeg,C$685.00,$500.00,$500.00,,
33,Paleta De Sombra Px Look,Px Look,MPX001,Maquillaje,Sombra,1,N/A,EyeShadow.jpeg,C$555.00,$400.00,$400.00,,
34,Paleta De Sombra Pretty Pink ,Beauty Intuition ,MBI001,Maquillaje,Sombra,1,N/A,SombraDeColoresPrettyPink.jpeg,C$333.00,$270.00,$270.00,,
35,Paleta De Sombra Pretty Pink ,Beauty Intuition ,MBI002,Maquillaje,Sombra,1,N/A,SombraDeColoresPrettyPink.jpeg,C$333.00,$270.00,$270.00,,
36,Paleta De Sombra Px Look,Px Look,MPX002,Maquillaje,Sombra,1,Caja Abierta,SombraPxLook28.jpeg,C$667.00,$545.00,$545.00,,
37,"Set De Labios, Iluminador y Contrno ",Rare Beauty ,MRB001,Maquillaje,Iluminador ,1,N/A,SetDeIluminador.jpeg,"C$1,813.00","$1,665.00","$1,665.00",,
38,Brillo Labial Victoria Secret ,Victoria Secret,MVS001,Maquillaje,Brillo,2,N/A,BrilloLabialVictoriaSecret.jpeg,C$500.00,$410.00,$820.00,,
39,Labial Hidratante ,L.A.Colors,MLA002,Maquillaje,Labial,2,N/A,LabialHidratanteLACOLORS.jpeg,C$205.00,$175.00,$350.00,,
40,Voluminizador de labios,L.A.Colors,MLA004,Maquillaje,Labial,1,N/A,VolumizadorLabial.jpeg,C$205.00,$175.00,$175.00,,
41,Tinte Labial,IONI,MIO003,Maquillaje,Tinte,1,N/A,TinteLabial.jpeg,C$240.00,$195.00,$195.00,,
42,Rubor Liquido ,IONI,MIO002,Maquillaje,Rubor,1,N/A,RuborLiquido.jpeg,C$333.00,$280.00,$280.00,,
43,Rubor voluminizador,IONI,MIO001,Maquillaje,Rubor,1,N/A,RuborVolumizador.jpeg,C$260.00,$220.00,$220.00,,
44,2 en 1 Labial Y Brillo,L.A.Colors,MLA003,Maquillaje,Labial,1,N/A,LABIALYBRILLO.jpeg,C$205.00,$175.00,$175.00,,
45,3 en 1 Labial Y Brillo,L.A.Colors,MLA001,Maquillaje,Labial,1,N/A,LabialYBrillo1.jpeg,C$205.00,$175.00,$175.00,,
46,Dúo de ojos Essentials de Selena,Rare Beauty ,MRB002,Maquillaje,Sombra,2,N/A,esencial para ojos de Selena.jpeg,"C$1,258.00","$1,036.00","$2,072.00",,
47,Contorno Líquido Soft Pinch,Rare Beauty ,MRB004,Maquillaje,Contorno ,3,Caja En Mal Estado,Contorno Líquido Soft Pinch.jpeg,"C$1,554.00","$1,274.28","$3,822.84",,
48,Delineador Liquido,e.l.f.,MEL001,Maquillaje,Delineador,1,Caja En Mal Estado,DelineadorElf.jpeg,C$555.00,$300.00,$300.00,,
49,Gel fijador escultor para cejas,IONI,MIO005,Maquillaje,Fijador,1,N/A,Gel fijador escultor para cejas.jpeg,C$296.00,$240.00,$240.00,,
50,Spray fijador mate e impermeable,One/Size,MOS001,Maquillaje,Fijador,1,N/A,Spray fijador mate e impermeable.jpeg,C$999.00,$820.00,$820.00,,
51,Kit de labios “Perfect Pout” de Sephora,Sephora,MSE001,Maquillaje,Labial,1,Caja En Mal Estado,Kit de labios “Perfect Pout” de Sephora.jpeg,"C$2,479.00","$1,980.00","$1,980.00",,
52,Color de labios + rubor en crema,Clean Beauty ,MVP001,Maquillaje,Rubor,1,N/A,Color de labios + rubor en crema.jpeg,C$333.00,$280.00,$280.00,,
53,Balsamo De Labios,Miss Factor X,MSH001,Maquillaje,Labial,35,N/A,Balsamo Labial.jpeg,C$70.00,$37.00,"$1,295.00",,
54,Calzon Ck L Blanco,Calvin Klein,RCK002,Ropa,Interior,1,N/A,CalzonCKB.jpeg,"C$1,000.00",$0.00,$0.00,,$820.00
55,Calzon Ck L Gris,Calvin Klein,Sin Codigo,Ropa,Interior,1,N/A,CalzonCKG.jpeg,C$0.00,$0.00,$0.00,,$820.00
56,Calzon Ck M Verde,Calvin Klein,RCK001,Ropa,Interior,1,N/A,CalzonCKV.jpeg,"C$1,000.00",$0.00,$0.00,,$820.00
57,Calzon Ck M Gris,Calvin Klein,RCK002,Ropa,Interior,1,N/A,CalzonCKG2.jpeg,"C$1,000.00",$0.00,$0.00,,$820.00
58,Calzon Tommy Gris M,Tommy Hilfiger,Sin Codigo,Ropa,Interior,1,N/A,CalzonTommyHilfGM.jpeg,"C$1,000.00",$0.00,$0.00,,$820.00
59,Calzon Tommy Azul M,Tommy Hilfiger,Sin Codigo,Ropa,Interior,1,N/A,CalzonTommyHilfAzul.jpeg,"C$1,000.00",$0.00,$0.00,,$820.00
60,Calzon Tommy Rosa M,Tommy Hilfiger,RCK001,Ropa,Interior,1,N/A,CalzonTommyHilfRM.jpeg,"C$1,000.00",$0.00,$0.00,,$820.00
61,Calzon Fine too Verde M,Fine too,Sin Codigo,Ropa,Interior,1,N/A,CalzonFineTooVerde.jpeg,C$120.00,$0.00,$0.00,,$98.00
62,Calzon Fine too Blanco M,Fine too,Sin Codigo,Ropa,Interior,1,N/A,CalzonFineTooBlanco.jpeg,C$120.00,$0.00,$0.00,,$98.00
63,Calzon Fine too Negro M,Fine too,Sin Codigo,Ropa,Interior,1,N/A,CalzonFineTooNegro.jpeg,C$120.00,$0.00,$0.00,,$98.00
,,,,,,,,,"C$45,292.00","$30,501.94","$37,964.50","C$14,790.06",
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
,,,,,,,,,,,$0.00,,
